2016-11-07 00:18:16,734 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:18:16,741 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-07 00:18:16,750 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:18:16,753 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 00:18:26,964 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:18:26,971 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-07 00:18:27,030 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:18:27,034 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 00:20:26,870 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:20:26,872 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-07 00:20:26,875 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:20:26,876 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 00:20:48,752 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:20:48,759 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-07 00:20:48,765 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:20:48,769 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 00:21:38,227 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:21:38,234 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-07 00:21:38,240 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:21:38,243 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 00:21:55,614 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:21:55,619 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-07 00:21:55,625 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:21:55,629 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 00:22:08,835 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:22:08,837 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-11-07 00:22:08,841 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:22:08,843 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-07 00:22:22,944 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-07 00:22:22,947 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
